edad;ocupación;est_civil;nivel_educativo;contrato_meses;Cred_hipotecario;Cred_personal;Medio_contacto;Dia;Mes;duracion_seg;cont_campaña_actual;campañas_previas;aceptacion_TC
30;desempleado;casado;primaria;21;no;no;celular;19;octubre;79;1;0;no
33;profesor;casado;bachillerato;37;si;si;celular;11;mayo;220;1;4;no
35;administrador;soltero;universitario;52;si;no;celular;16;abril;185;1;1;no
30;administrador;casado;universitario;27;si;si;chat;3;junio;199;4;0;no
59;informal;casado;bachillerato;6;si;no;chat;5;mayo;226;1;0;no
35;administrador;soltero;universitario;29;no;no;celular;23;febrero;141;2;3;no
36;independiente;casado;universitario;38;si;no;celular;14;mayo;341;1;2;no
39;empresario;casado;bachillerato;42;si;no;celular;6;mayo;151;2;0;no
41;emprendedor;casado;universitario;67;si;no;chat;14;mayo;57;2;0;no
43;profesor;casado;primaria;62;si;si;celular;17;abril;313;1;2;no
39;profesor;casado;bachillerato;64;si;no;chat;20;mayo;273;1;0;no
43;independiente;casado;bachillerato;36;si;no;celular;17;abril;113;2;0;no
36;empresario;casado;universitario;45;no;no;celular;13;agosto;328;2;0;no
20;estudiante;soltero;bachillerato;52;no;no;celular;30;abril;261;1;0;si
31;informal;casado;bachillerato;9;si;si;celular;29;enero;89;1;1;no
40;administrador;casado;universitario;8;no;si;celular;29;agosto;189;2;0;no
56;empresario;casado;bachillerato;40;no;no;celular;27;agosto;239;5;0;no
37;independiente;soltero;universitario;18;si;no;celular;20;abril;114;1;2;no
25;informal;soltero;primaria;53;si;no;chat;23;mayo;250;1;0;no
31;profesor;casado;bachillerato;63;no;no;celular;7;julio;148;1;1;no
38;administrador;divorciado;técnico;49;si;no;celular;18;noviembre;96;2;0;no
42;administrador;divorciado;universitario;40;no;no;celular;19;noviembre;140;3;0;no
44;profesor;soltero;bachillerato;2;no;no;chat;12;junio;109;2;0;no
44;emprendedor;casado;bachillerato;67;no;no;celular;7;julio;125;2;0;no
26;amadiciembreasa;casado;universitario;6;no;no;celular;30;enero;169;3;0;no
41;administrador;casado;universitario;20;no;no;celular;20;noviembre;182;2;0;no
55;informal;casado;primaria;26;si;no;chat;5;mayo;247;1;0;no
67;pensionado;casado;técnico;35;no;no;telefono;17;agosto;119;1;2;no
56;independiente;casado;bachillerato;24;no;si;celular;30;julio;149;2;0;no
53;independiente;casado;bachillerato;19;no;si;celular;21;agosto;74;2;0;no
68;pensionado;divorciado;bachillerato;52;no;no;telefono;14;julio;897;2;0;si
31;empresario;casado;bachillerato;8;no;no;celular;27;agosto;81;3;0;no
59;administrador;casado;bachillerato;2;no;no;celular;21;noviembre;40;1;0;no
32;administrador;soltero;universitario;20;si;no;celular;26;agosto;958;6;0;si
49;empresario;casado;universitario;37;no;no;celular;13;agosto;354;3;0;si
42;independiente;divorciado;bachillerato;6;si;no;chat;14;mayo;150;1;0;no
78;pensionado;divorciado;primaria;8;no;no;telefono;22;octubre;97;1;0;si
32;informal;casado;bachillerato;19;si;no;celular;14;noviembre;132;1;0;si
33;administrador;casado;bachillerato;43;si;no;celular;6;mayo;765;1;2;si
23;profesor;soltero;universitario;31;si;no;chat;30;mayo;16;18;0;no
38;administrador;soltero;universitario;13;si;no;chat;17;noviembre;609;2;3;no
36;administrador;soltero;universitario;30;no;no;celular;11;agosto;106;2;0;no
52;informal;casado;bachillerato;69;si;no;celular;13;mayo;365;1;0;no
32;empresario;casado;universitario;10;si;no;celular;13;mayo;205;3;0;no
32;empresario;soltero;universitario;25;si;no;celular;21;noviembre;11;4;0;no
34;administrador;soltero;universitario;37;si;no;chat;7;mayo;105;2;0;no
55;informal;casado;primaria;29;no;no;telefono;2;febrero;59;3;2;no
26;informal;casado;primaria;27;si;no;chat;21;mayo;425;1;0;no
32;emprendedor;soltero;primaria;22;si;si;celular;4;febrero;204;1;0;no
61;independiente;casado;técnico;48;si;no;celular;27;enero;181;1;1;si
45;informal;divorciado;primaria;36;no;no;chat;5;junio;1018;3;0;si
37;empresario;soltero;bachillerato;62;si;no;celular;20;agosto;1740;2;0;no
38;empresario;soltero;bachillerato;42;no;no;celular;29;agosto;98;2;0;no
34;empresario;casado;universitario;40;si;no;celular;15;junio;441;1;1;si
53;informal;casado;bachillerato;50;si;no;celular;14;julio;272;3;0;no
48;independiente;casado;bachillerato;49;si;no;telefono;15;julio;159;2;0;no
57;administrador;casado;bachillerato;22;no;si;telefono;4;febrero;140;1;0;no
33;independiente;soltero;universitario;23;no;no;celular;17;noviembre;295;1;0;no
36;pensionado;soltero;bachillerato;25;si;si;chat;26;mayo;314;1;0;no
54;empresario;divorciado;bachillerato;71;si;si;chat;15;mayo;579;1;0;no
41;informal;casado;primaria;53;no;si;telefono;8;julio;554;3;0;no
63;pensionado;casado;bachillerato;41;si;no;celular;7;octubre;323;1;0;no
48;administrador;casado;universitario;2;no;no;celular;13;agosto;227;2;0;no
48;profesor;casado;bachillerato;17;no;no;celular;4;julio;134;2;0;no
56;independiente;casado;bachillerato;47;no;no;celular;7;octubre;223;1;0;no
51;informal;divorciado;bachillerato;60;si;no;celular;8;mayo;134;1;5;no
31;profesor;casado;bachillerato;35;si;no;celular;28;enero;155;1;0;no
29;empresario;casado;bachillerato;29;si;no;celular;21;julio;130;4;0;no
41;administrador;casado;bachillerato;28;no;si;celular;7;julio;630;3;0;no
32;empresario;soltero;universitario;64;no;no;celular;19;noviembre;164;2;0;no
37;administrador;casado;universitario;65;no;no;celular;16;julio;268;2;3;si
42;emprendedor;divorciado;universitario;19;si;no;chat;5;mayo;380;1;0;no
31;administrador;soltero;universitario;46;si;no;chat;9;mayo;154;2;0;no
41;profesor;casado;universitario;36;si;no;chat;3;junio;154;5;0;no
56;pensionado;casado;bachillerato;68;si;no;chat;15;mayo;221;1;0;no
54;administrador;divorciado;universitario;58;no;no;celular;14;agosto;67;2;0;no
41;informal;divorciado;bachillerato;65;si;no;celular;14;mayo;367;2;1;no
40;empresario;soltero;bachillerato;51;no;si;celular;14;agosto;87;6;0;no
50;informal;divorciado;primaria;26;no;no;celular;5;febrero;701;1;0;no
40;desempleado;casado;bachillerato;32;si;no;celular;17;noviembre;204;2;1;no
27;independiente;divorciado;bachillerato;37;si;no;celular;16;julio;652;1;0;si
60;pensionado;casado;primaria;28;no;no;celular;26;agosto;63;2;0;no
28;independiente;soltero;bachillerato;6;si;si;celular;6;mayo;150;1;0;no
52;profesor;casado;bachillerato;34;no;no;telefono;7;julio;398;2;2;si
37;administrador;casado;universitario;19;no;no;celular;30;junio;224;1;0;si
51;informal;casado;primaria;44;si;no;chat;7;mayo;406;2;0;no
41;empresario;soltero;bachillerato;6;no;si;celular;7;julio;60;4;0;no
35;informal;soltero;primaria;24;si;no;chat;30;mayo;521;2;0;no
38;independiente;casado;bachillerato;19;si;no;celular;17;abril;279;1;0;no
34;informal;casado;bachillerato;71;si;no;chat;20;mayo;203;2;0;no
39;informal;casado;primaria;54;no;no;celular;18;noviembre;201;2;0;no
34;informal;casado;primaria;25;si;no;chat;20;junio;372;3;0;no
27;profesor;soltero;bachillerato;29;si;no;celular;18;mayo;391;1;0;si
