,edad,ocupación,est_civil,nivel_educativo,contrato_meses,Cred_hipotecario,Cred_personal,Medio_contacto,Dia,Mes,duracion_seg,cont_campaña_actual,campañas_previas,aceptacion_TC
0,30,desempleado,casado,primaria,21,no,no,celular,19,octubre,79,1,0,no
1,33,profesor,casado,bachillerato,37,si,si,celular,11,mayo,220,1,4,no
2,35,administrador,soltero,universitario,52,si,no,celular,16,abril,185,1,1,no
3,30,administrador,casado,universitario,27,si,si,chat,3,junio,199,4,0,no
4,59,informal,casado,bachillerato,6,si,no,chat,5,mayo,226,1,0,no
5,35,administrador,soltero,universitario,29,no,no,celular,23,febrero,141,2,3,no
6,36,independiente,casado,universitario,38,si,no,celular,14,mayo,341,1,2,no
7,39,empresario,casado,bachillerato,42,si,no,celular,6,mayo,151,2,0,no
8,41,emprendedor,casado,universitario,67,si,no,chat,14,mayo,57,2,0,no
9,43,profesor,casado,primaria,62,si,si,celular,17,abril,313,1,2,no
10,39,profesor,casado,bachillerato,64,si,no,chat,20,mayo,273,1,0,no
11,43,independiente,casado,bachillerato,36,si,no,celular,17,abril,113,2,0,no
12,36,empresario,casado,universitario,45,no,no,celular,13,agosto,328,2,0,no
13,20,estudiante,soltero,bachillerato,52,no,no,celular,30,abril,261,1,0,si
14,31,informal,casado,bachillerato,9,si,si,celular,29,enero,89,1,1,no
15,40,administrador,casado,universitario,8,no,si,celular,29,agosto,189,2,0,no
16,56,empresario,casado,bachillerato,40,no,no,celular,27,agosto,239,5,0,no
17,37,independiente,soltero,universitario,18,si,no,celular,20,abril,114,1,2,no
18,25,informal,soltero,primaria,53,si,no,chat,23,mayo,250,1,0,no
19,31,profesor,casado,bachillerato,63,no,no,celular,7,julio,148,1,1,no
20,38,administrador,divorciado,técnico,49,si,no,celular,18,noviembre,96,2,0,no
21,42,administrador,divorciado,universitario,40,no,no,celular,19,noviembre,140,3,0,no
22,44,profesor,soltero,bachillerato,2,no,no,chat,12,junio,109,2,0,no
23,44,emprendedor,casado,bachillerato,67,no,no,celular,7,julio,125,2,0,no
24,26,amadiciembreasa,casado,universitario,6,no,no,celular,30,enero,169,3,0,no
25,41,administrador,casado,universitario,20,no,no,celular,20,noviembre,182,2,0,no
26,55,informal,casado,primaria,26,si,no,chat,5,mayo,247,1,0,no
27,67,pensionado,casado,técnico,35,no,no,telefono,17,agosto,119,1,2,no
28,56,independiente,casado,bachillerato,24,no,si,celular,30,julio,149,2,0,no
29,53,independiente,casado,bachillerato,19,no,si,celular,21,agosto,74,2,0,no
30,68,pensionado,divorciado,bachillerato,52,no,no,telefono,14,julio,897,2,0,si
31,31,empresario,casado,bachillerato,8,no,no,celular,27,agosto,81,3,0,no
32,59,administrador,casado,bachillerato,2,no,no,celular,21,noviembre,40,1,0,no
33,32,administrador,soltero,universitario,20,si,no,celular,26,agosto,958,6,0,si
34,49,empresario,casado,universitario,37,no,no,celular,13,agosto,354,3,0,si
35,42,independiente,divorciado,bachillerato,6,si,no,chat,14,mayo,150,1,0,no
36,78,pensionado,divorciado,primaria,8,no,no,telefono,22,octubre,97,1,0,si
37,32,informal,casado,bachillerato,19,si,no,celular,14,noviembre,132,1,0,si
38,33,administrador,casado,bachillerato,43,si,no,celular,6,mayo,765,1,2,si
39,23,profesor,soltero,universitario,31,si,no,chat,30,mayo,16,18,0,no
40,38,administrador,soltero,universitario,13,si,no,chat,17,noviembre,609,2,3,no
